1	2	7	11	12	15	16	19	20
A1BG	5.43514096895006	5.31894300766169	5.19329859895264	4.85762795309128	5.24967506536094	4.44428518616057	6.06760247681599	5.29462192230421	4.7966746510258
AAAS	5.61371930235028	1.12106241342681	4.00481268550076	2.92479296345997	2.90512699561895	3.76992064723446	2.78409745307551	3.3629276011538	3.87519822956402
AAGAB	3.89679557037404	3.95260005899039	4.12199430401492	3.31165345898315	5.66249741908227	5.20599566572673	8.98699733994177	5.3421260963	4.81577681042614
AAMDC	5.40748256466761	3.61829789825912	3.39392047884335	5.365425354854	3.62712576662501	4.603471925358	4.2506198645238	5.4199939494715	4.76879852004469
AAMP	6.46319240880477	5.8032217953224	6.21424929559587	6.59227241031023	6.11260830295826	6.74282088073847	6.65515058658826	5.892399532618	5.61632822623378
AAR2	3.34445086016584	4.23958702142472	2.98678950530428	3.35374035355388	2.72783326988438	3.60314594794183	2.75433924063418	0.69132024867482	3.61458705358307
AARS	5.49208028090612	2.0550337429377	1.89864240908135	2.09020377982145	4.91926405543478	2.08377580162541	4.94910185574694	2.47680523637205	5.41565848358568
AASDH	4.0672200826987	2.82364157797721	4.24382205096903	4.05496183829696	4.03660662831355	4.16036587798713	3.6508491561102	2.1974511375581	3.95297528008862
AASDHPPT	4.7993674313793	4.79885703205691	4.80052101640908	4.8001395750776	4.80084220517792	4.80091995011989	4.79989748644584	4.79961686164976	4.80174658972117
ABCA2	3.05199284982555	1.95701288933565	1.90024618703499	1.99665713574141	2.53715580978664	0.198905268755385	2.65610689132823	2.22141509558175	2.98320318265737
ABCB1	2.27000658151204	4.8669562094866	5.23062855175686	3.82151609578954	2.38147330322156	3.89249809153798	2.37745709368047	2.96644777637163	3.75222531884932
ABCC10	2.54149153204393	2.52317522697065	2.50697716222095	2.55020185217616	2.44429459314706	2.57673333916782	2.53777927475081	2.68283864877848	2.51357271169455
ABCD4	4.0763215550942	3.89706800917418	4.19648276735481	3.62785092414411	3.618666912689	3.92317297082494	3.90435445677779	3.78781342886071	3.75014182808407
ABCE1	4.91536108234981	4.90543340411111	4.90448041193979	4.59105294375743	4.83566376760358	4.85847065295691	4.94985249681713	5.13467376968917	5.02096557743251
ABCF1	5.70887265387744	5.95194790494781	6.0200407660825	5.67730801969009	5.89466910237427	6.03295794204035	5.59689607369255	5.88499848507047	5.97105051870372
ABCF2	3.79209030673422	3.7758281509347	4.01948188992271	4.32103957539991	4.23395755889712	5.17749432759549	5.96069712302711	3.81633606996139	2.15042769896215
ABCF3	3.01008353191874	4.2609840898675	4.10309167813793	3.97466258667555	3.94929944334883	2.18351092202434	2.17208180435154	4.67949482040568	5.01884198529126
ABCG1	1.82778577941028	3.11026628151628	2.35460077944674	2.87344536294354	2.49295125223676	2.53151283222079	1.82904279159367	2.80815705469116	2.77904990727668
ABHD10	3.21722912760457	3.47219231725996	3.20273219804842	3.61794971190821	3.47374521801009	3.48461236247284	3.54909484353598	3.62590888354997	3.199973644108
ABHD11	4.86670530426762	3.10354182722905	4.64836491208749	4.77521152276506	3.10523604502042	4.49148125758159	4.97684952578521	4.96294847913144	4.29902088636039
ABHD13	4.16332218123051	4.33382820047913	4.25836657309017	4.19373865912702	4.63343487091455	4.67383327251177	4.73655283256816	5.02884294641164	4.31885858231388
ABHD14A	6.09899358190129	5.77026195827181	5.91118654277682	6.32746403403268	5.89285630202001	6.0251226705969	5.67331989413277	6.62403732353523	6.18965881810553
ABHD16A	3.7406649079413	3.25165061701026	3.63152130415226	3.2275605913121	4.07146289256811	4.63981228098559	3.7990815408846	3.43200800814768	4.42238204686881
ABHD17A	5.36993976256528	4.45264600127626	6.33615895318068	4.98296097044157	4.91192139682004	6.63527332987037	5.46825476717083	6.13402399810948	6.10480434293916
ABHD2	3.26151148417165	2.53037702960725	3.58234860017462	4.75172226847048	0	4.62909290969797	4.61424344975874	1.93476499477784	4.06702752378612
ABHD3	5.27088285767713	5.27609936359433	5.26751615162585	5.26729812811152	5.26391810689027	5.26811446348878	5.25919853782349	5.27431835555054	5.2622895356582
ABI1	6.15050606778948	6.10554654984721	6.15610211117799	6.14485716005613	6.10441077476373	6.11001474684656	6.14701472096696	6.14342740088312	6.13403479961304
ABI2	4.20157117862681	4.19198749723869	2.75000202745354	2.93446103992004	3.47781109259725	4.28443693958558	3.55769408044131	3.33553380174688	2.85137695804306
ABLIM1	5.33895723064311	4.90778596531346	4.81041068515261	5.06381020897846	3.69368645454118	5.00824760282825	5.76154532334555	5.46315036888634	4.23091385288703
ABR	3.3246684407038	4.33985164410784	4.11017767241228	3.92117495644019	4.69389369489052	3.42995294577126	4.45301397023569	6.13162506896415	4.62329418997238
ABRACL	7.52324057590827	7.45825481498832	7.49870974419371	7.42261141257018	7.52270396455569	7.4669992810962	7.66397304044063	7.53243890372489	7.50970642043935
ABT1	7.5125346565725	6.933306027177	8.93514200524301	5.65823753674306	5.94275525352777	5.91158027219815	6.85877735876012	6.29488378608623	6.47944803148049
ABTB1	5.86150190608393	5.85441143974363	5.69390001321644	5.37411355010853	6.05353349771769	5.9578493502713	5.66416742859568	5.50950519692829	6.13092919965952
AC006129.2	4.00813934477639	4.51722825290879	4.64105689868487	3.35831362085477	4.00990242902858	4.06072023433641	4.15279042634873	5.02727615333309	2.24630111842543
AC010642.1	5.33112563946287	5.25027442306978	5.26222517313377	5.44573342783652	5.37653270487236	5.34976201277882	5.2382724572943	5.06899710555577	5.30172468351225
